序列号,ID,Title,url,images,location,Period,Materials,Measurements,Artist,Credit Line,Type,Description,Illusion
15044,2004.19.38.16,Album Leaf from Album of Figures,https://search.museums.ualberta.ca/21-20415,https://media.museums.ualberta.ca/UAAC/fullres/2004/2004_019_038_016_s21-10v01.jpg,,Qing 19th century,ink and colour on paper,,Ren Yi,Gift of Sandy and Cécile Mactaggart,album leaf,"This album leaf is one of thirteen inscriptions in Ren Yi’s Album of Figures, featuring a four-line poem with seven characters per line. The poem was written in cursive script by Taixi (1899–1989) and later attached to Ren Yi’s paintings. The text is associated with the imagery on the album leaf attached beneath it (2004.19.38.17).",
15045,2005.5.601,Front Panel of a Rank Badge for a Fifth Rank Military Official,https://search.museums.ualberta.ca/21-19823,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_601_ve_s19-12v01.jpg,,Qing 19th century,gold wrapped silk thread; ink; linen; silk; tapestry weave,,unknown,Gift of Sandy and Cécile Mactaggart,rank badge,,
15046,2004.19.79.2,Rocks and Stream in Bamboo Grove,https://search.museums.ualberta.ca/21-20461,https://media.museums.ualberta.ca/UAAC/fullres/2004/2004_019_079_002_m01_alt_edit_s23-01v01.jpg,,Qing 17th century,ink on silk,,Zhu Sheng,Gift of Sandy and Cécile Mactaggart,hanging scroll,,
15047,2010.20.1.1.3,"Magnificent Record of the Southern Tours, volume 3, chapters 5 to 7",https://search.museums.ualberta.ca/21-23679,https://media.museums.ualberta.ca/UAAC/bfw/2010/2010_020_001_001_003_s20-02v01.jpg,,,"printed woodblock, thread binding",overall: 29.9 cm x 18.5 cm x 0.7 cm,Gao Jin,Gift of Sandy and Cécile Mactaggart,book,"One volume from the Yuzhi nanxun shengdian [Magnificent Record of the Southern Tours], edited by Gao Jin et al. Chapters 5 to 7. Volume 3 Tianzhang [Imperial essays]. Woodblock printed, thread binding.",
15048,2004.19.68,The Qianlong Emperor’s Conquests,https://search.museums.ualberta.ca/21-19133,https://media.museums.ualberta.ca/UAAC/bfw/2010/2010_020_001_001_003_s20-02v01.jpg,,Qing 18th century,"ink on silk, mounted on paper; etching; engraving; woodcut",overall: 5.3 cm x 114.8 cm x 66.2 cm,"after Castiglione, Giuseppe; after Sichelbart, Ignatius; after Attiret, Jean-Denis; after Damasceno, Giovanni; after Qianlong Emperor",Gift of Sandy and Cécile Mactaggart,portfolio set,A set of sixteen engravings accompanied by a set of sixteen manuscript poems housed in a storage box.,
15049,2005.5.596.1,Front Panel of a Rank Badge for a Fourth Rank Military Official,https://search.museums.ualberta.ca/21-20754,https://media.museums.ualberta.ca/UAAC/fullres/2005/2005_005_596_001_ve_s23-03v01.jpg,,Qing 19th century,silk; silk floss; silk satin; embroidery,,unknown,Gift of Sandy and Cécile Mactaggart,rank badge,"Rank badges, always made in pairs, were placed on the front and back of surcoats in order to communicate their wearer’s rank during the Ming (1368-1644) and Qing dynasties (1644-1911). Different motifs were regulated by the imperial court, including bird motifs used only for civil officials, while beasts were used for military officials. The hierarchy of ranks within these categories was represented by specific birds and beasts. 
This rank badge features a tiger, symbolizing a fourth rank military official. The tiger is crouching on a rock and surrounded by ruyi-shaped clouds. The pattern on the badge is embroidered with fine seed stitches. The border is adorned with bats and shou characters (symbolizing longevity).",
15050,2005.5.496,Silk Velvet Yardage,https://search.museums.ualberta.ca/21-19718,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_496_ve_g01_s20-02v01.jpg,,Qing 19th century,silk cut velvet,overall: 62.8 cm x 373.5 cm,unknown,Gift of Sandy and Cécile Mactaggart,yardage,,
15051,2005.5.337.2,Black Lacquer Hat Storage Box,https://search.museums.ualberta.ca/21-21016,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_337_002_s20-02v01.jpg,,Qing 19th-20th centuries,lacquer,,unknown,Gift of Sandy and Cécile Mactaggart,box,,
15052,2005.5.555,Front and Back Panels of a Rank Badge for a Sixth Rank Civil Official,https://search.museums.ualberta.ca/21-19777,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_555_002_re_s19-12v01.jpg,,Qing 19th-20th centuries,gold wrapped silk thread; linen; silk; tapestry weave,,unknown,Gift of Sandy and Cécile Mactaggart,rank badge,"Rank badges, always made in pairs, were placed on the front and back of surcoats in order to communicate their wearer’s rank during the Ming (1368-1644) and Qing dynasties (1644-1911). Different motifs were regulated by the imperial court, including bird motifs used only for civil officials, while beasts were used for military officials. The hierarchy of ranks within these categories was represented by specific birds and beasts. 
This pair of rank badges features an egret, representing a sixth rank civil official. In the Ming Dynasty, the birds on rank badges were often presented in pairs in an upper and lower position. Later, in the Qing Dynasty, only one bird was seen on rank badges. The egret in this badge is surrounded by ruyi-shaped clouds, with its wings outstretched and its gaze fixed on the sun disk in the upper left corner. This badge is woven in tapestry, with a ground made from metallic thread. Coloured ink was used to depict details in the bird’s body.",
15053,2005.5.624,Embroidered Yellow Silk Sleeve Bands,https://search.museums.ualberta.ca/21-19846,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_624_s20-02v01.jpg,,Qing 19th century,metallic thread; silk; silk satin; brocade braid; embroidery,overall: 26.4 cm x 114.5 cm,unknown,Gift of Sandy and Cécile Mactaggart,sleeve band,,
15054,2004.19.3.1,Album Leaf from Insects,https://search.museums.ualberta.ca/21-20072,https://media.museums.ualberta.ca/UAAC/fullres/2004/2004_019_003_001_s21-03v01.jpg,,Qing 18th-19th centuries,ink; paper,sheet: 35.5 cm x 43.2 cm; image: 21.7 cm x 26.8 cm,unknown,Gift of Sandy and Cécile Mactaggart,album leaf,A painting of four butterflies of varying sizes.,
15055,2004.19.89,Cat and Lilies,https://search.museums.ualberta.ca/21-19154,https://media.museums.ualberta.ca/UAAC/fullres/2004/2004_019_058_ve_s21-03v01.jpg,,Modern 20th century,ink and colour on paper,overall: 188 cm x 46.1 cm; image: 98 cm x 32.7 cm; rolled: 5.9 cm x 53.5 cm x 4.7 cm,"Yu Fei'an; Zhao Kejia											
											 
												
												
													
														View People Details ?",Gift of Sandy and Cécile Mactaggart,hanging scroll,"A hanging scroll painting of lillies, a cat, a butterfly.","This scroll has two inscriptions: one is signed by Fei'an and is impressed with 1 artist seal, the other is signed by Zhao Kejia and is impressed with 1 artist seal."
15056,2004.19.8,Mount Huang,https://search.museums.ualberta.ca/21-19073,https://media.museums.ualberta.ca/UAAC/fullres/2004/2004_019_008_d01_s22-02v01.jpg,,Modern 20th century,,sheet: 196.1 cm x 83.1 cm; image: 72.7 cm x 65.4 cm,"Zhang Hong											
											 
												
												
													
														View People Details ?",Gift of Sandy and Cécile Mactaggart,hanging scroll,"This hanging scroll by Zhang Hong (b. 1954) depicts the beauty of Mount Huang in the Anhui province of southeast China. The painting is composed of light washes of blue and pink, which create a multi-layered colour gradation within the scenery. The lower parts of the mountain are obscured by low-lying clouds, leaving only the peaks visible. These clouds, created with negative space, surround landscape shapes that simultaneously emerge from and disappear into the thick, moist atmosphere.","Signed by Zhang Juchuan with the date 'ding mao', 1987. There are 3 seals of the artist."
15057,2005.5.597,Back Panel of a Rank Badge for a Censor,https://search.museums.ualberta.ca/21-19819,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_597_ve_s19-12v01.jpg,,Qing 19th century,linen; silk; silver wrapped silk thread; tapestry weave; ink,overall: 28.7 cm x 29.7 cm,unknown,Gift of Sandy and Cécile Mactaggart,rank badge,,
15058,2004.19.2.15,Album Leaf from Illustrations of Chinese Costumes,https://search.museums.ualberta.ca/21-19965,https://media.museums.ualberta.ca/UAAC/fullres/2004/2004_019_002_015_s21-10v01.jpg,,Qing 18th century,ink; paper,sheet: 17.2 cm x 28 cm; image: 11.4 cm x 18.1 cm,unknown,Gift of Sandy and Cécile Mactaggart,album leaf,"This album leaf is a part of a 48-page album that depicts Chinese subjects participating in various aspects of daily life, including government business, daily life, cultural customs, modes of transportation, and corporal punishment. This leaf has an ink and watercolour depiction of three female figures, labelled in pencil as “country women”. The figure on the left is dressed in a typical Han style, with a short blue collared vest over a mid-length blue robe with wide sleeves. Underneath her robe she wears a blue pleated skirt, and she also wears bracelets, hair pins, and holds a blue fan. The middle figure wears a short blue jackets with wide, folded back yellow cuffs. She also wears a mid-length pink robe over green pants and holds a large fan. The left and middle figure both have bound feet, which was a typical style for Han women during the Qing Dynasty. The figure on the left dresses the most simply, with a mid-length grey robe over a blue pleated skirt. Her robe is tied at the waist. Her shoes are a slipper style and she also holds a basket and a net.",
15059,2005.5.191,Embroidered Red Silk Wedding Jacket,https://search.museums.ualberta.ca/21-19413,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_191_op_s19-12v01.jpg,,Qing 19th century,red silk satin embroidered with silk and metal-wrapped threads,overall: 96.6 cm x 176.2 cm; neck to hem: 96.6 cm; cuff to cuff: x 176.2 cm,unknown,Gift of Sandy and Cécile Mactaggart,jacket,,
15060,2005.5.404,Embroidered Red Silk Actor's Costume,https://search.museums.ualberta.ca/21-19626,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_404_d01_s19-12v01.jpg,,Qing 20th century,red silk satin embroidered with silk and metal-wrapped threads,overall: 147 cm x 204 cm,unknown,Gift of Sandy and Cécile Mactaggart,robe,,
15061,2004.19.3.24,Album Leaf from Insects,https://search.museums.ualberta.ca/21-20111,https://media.museums.ualberta.ca/UAAC/fullres/2004/2004_019_003_024_s21-03v01.jpg,,Qing 18th-19th centuries,ink; paper,sheet: 35.4 cm x 43.1 cm; image: 21.7 cm x 26.3 cm,unknown,Gift of Sandy and Cécile Mactaggart,album leaf,"A painting of four butterflies of varying sizes and colours, and two other insects.",
15062,2004.19.2.39,Album Leaf from Illustrations of Chinese Costumes,https://search.museums.ualberta.ca/21-20050,https://media.museums.ualberta.ca/UAAC/fullres/2004/2004_019_002_039_s21-10v01.jpg,,Qing 18th century,ink; paper,sheet: 17.2 cm x 27.9 cm; image: 11.6 cm x 18.6 cm,unknown,Gift of Sandy and Cécile Mactaggart,album leaf,"This album leaf is a part of a 48-page album that depicts Chinese subjects participating in various aspects of daily life, including government business, daily life, cultural customs, modes of transportation, and corporal punishment. This leaf contains an ink and watercolour depiction of a man, the prime minister, and his first wife. The wife, left, wears a long pink jacket over a pleated skirt and an ornate crown. The man, right, wears a typical Manchu civil official's outfit of a surcoat with a rank badge over a robe, a large collar, a long necklace and a conical hat with a feather.",
15063,2005.5.467,Blue Silk Gauze Jacket,https://search.museums.ualberta.ca/21-19689,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_467_ve_s20-02v01.jpg,,Qing 19th-20th centuries,dark blue brocaded silk gauze edged with black silk satin,overall: 92.5 cm x 43 cm,unknown,Gift of Sandy and Cécile Mactaggart,jacket,,
15064,2005.5.293,Two Embroidered Silk Fragmentary Panels from a Woman's Costume,https://search.museums.ualberta.ca/21-19515,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_467_ve_s20-02v01.jpg,,Qing 19th century,silk; silk floss; silk jacquard; silk satin; embroidery,,unknown,Gift of Sandy and Cécile Mactaggart,panel,,
15065,2005.5.448.4,Uncut Embroidered Yellow Silk Cushion Cover,https://search.museums.ualberta.ca/21-20972,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_448_004_ve_s20-02v01.jpg,,Qing 19th century,gold wrapped silk thread; silk floss; silk satin; embroidery,overall: 55.4 cm x 76.1 cm,unknown,Gift of Sandy and Cécile Mactaggart,cushion cover,,
15066,2005.5.615,Left Side of the Front Panel of a Rank Badge,https://search.museums.ualberta.ca/21-19837,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_615_plus_519_re_s19-12v01.jpg,,Qing 19th century,silk; silk floss; silk satin; embroidery,overall: 29.4 cm x 15.6 cm,unknown,Gift of Sandy and Cécile Mactaggart,rank badge,"Qing Period (1652-1911), Fifth Rank Military Official (Bear) 
(source: John E. Vollmer)",
15067,2005.5.190,Lavender Silk Damask Jacket for a Woman,https://search.museums.ualberta.ca/21-19412,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_190_d02_s19-12v01.jpg,,Qing 19th century,pale pink silk satin damask edged with off-white silk satin facings embroidered with silk and metal-wrapped threads,overall: 107.7 cm x 144.2 cm; neck to hem: 107.7 cm; cuff to cuff: x 144.2 cm,unknown,Gift of Sandy and Cécile Mactaggart,jacket,,
15068,2004.19.64.1,Summer Retreat in a River Village,https://search.museums.ualberta.ca/21-20537,https://media.museums.ualberta.ca/UAAC/bfw/2004/2004_019_064_001_m01_text_s20-02v01.jpg,,Qing 17th-18th centuries,ink and colour on silk,sheet: 33 cm x 1003.3 cm; image: 27.2 cm x 189.9 cm,Gu Fang,Gift of Sandy and Cécile Mactaggart,handscroll,"This landscape handscroll painting by Gu Fang (ca. 1690-1730) depicts a riverside village with mountains in the background and a river curving around a small village. Rock forms are painted primarily in blue and green paint, which is a typical genre of Chinese painting. There is a building in the middle of the painting with large open windows showing figures inside. On the left side of the painting there are two boats, a smaller group of buildings, and a figure with a group of oxen.","The scroll has an inscription of a poem by Fan Chengda (1126-1193) and is signed by Gu Fang.  The scroll is impressed with 4 artist seals.  There are 7 colophons written by the following: Ma Jiatong, Chen Kuilong…												

													The scroll has an inscription of a poem by Fan Chengda (1126-1193) and is signed by Gu Fang.  The scroll is impressed with 4 artist seals.  There are 7 colophons written by the following: Ma Jiatong, Chen Kuilong (1857-1948), Jin Baoquan, Zhang Qiyin, Lin Baoheng, Zhang Yuanji, and Sheng Yanlui.  The scroll is also impressed with 3 collector's seals.												
Read More +"
15069,2005.5.546,Front and Back Panels of a Rank Badge for a Third Rank Civil Official,https://search.museums.ualberta.ca/21-19768,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_546_002_re_s19-12v01.jpg,,Qing 19th century,gold wrapped silk thread; silk; ink; tapestry weave,,unknown,Gift of Sandy and Cécile Mactaggart,rank badge,"Rank badges, always made in pairs, were placed on the front and back of surcoats in order to communicate their wearer’s rank during the Ming (1368-1644) and Qing dynasties (1644-1911). Different motifs were regulated by the imperial court, including bird motifs used only for civil officials, while beasts were used for military officials. The hierarchy of ranks within these categories was represented by specific birds and beasts. 
This pair of rank badges feature a peacock, representing a third rank civil official. In the Ming Dynasty, the birds on rank badges were often presented in pairs in an upper and lower position. Later, in the Qing Dynasty, only one bird or beast was seen on rank badges. It is perched on a rock and gazing at a sun disc in the top left corner. The eight Buddhist treasures are scattered throughout the design, including a parasol, endless knot, lotus blossom, victory banner, wheel, vase, carp, and conch shell. This badge is woven in tapestry, with a ground made from gold metal-wrapped thread and details rendered in multi-coloured silk floss. Ink is used for details and outlines.",
15070,2005.5.186,Embroidered Brown Silk Dragon Robe,https://search.museums.ualberta.ca/21-19408,https://media.museums.ualberta.ca/UAAC/fullres/2005/2005_005_186_ve_s21-03v01.jpg,,Qing 19th-20th centuries,red-brown silk twill embroidered with silk and metal wrapped threads,overall: 140.8 cm x 159.5 cm; neck to hem: 140.8 cm; cuff to cuff: x 159.5 cm,unknown,Gift of Sandy and Cécile Mactaggart,robe,,
15071,2004.19.2.19,Album Leaf from Illustrations of Chinese Costumes,https://search.museums.ualberta.ca/21-19971,https://media.museums.ualberta.ca/UAAC/fullres/2004/2004_019_002_019_s21-10v01.jpg,,Qing 18th century,ink; paper,sheet: 17.2 cm x 28 cm; image: 11.4 cm x 18.5 cm,unknown,Gift of Sandy and Cécile Mactaggart,album leaf,"This album leaf is a part of a 48-page album that depicts Chinese subjects participating in various aspects of daily life, including government business, daily life, cultural customs, modes of transportation, and corporal punishment. This leaf contains an ink and watercolour drawing of four porters carrying an official litter containing a high ranking passenger. The porters all wear mid-length black tunics over blue and black pants. They also wear brown coned hats with red tassels. The litter is enclosed, but with outlines of opening windows and a flower vase inside. The front of the litter is open to reveal that the passenger, likely an official, is wearing a long blue robe and black boots.",
15072,2005.5.48,Silk Twill Uncut Facings for a Woman's Coat or Robe,https://search.museums.ualberta.ca/21-19270,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_048_ve_g02_s20-02v01.jpg,,Qing 19th century,silk twill; silk floss; silk; gold wrapped silk thread; embroidery,overall: 180.4 cm x 75 cm,unknown,Gift of Sandy and Cécile Mactaggart,facings,,
15073,2005.5.575,Front and Back Panels of a Rank Badge for a Fifth Rank Civil Official,https://search.museums.ualberta.ca/21-19797,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_575_002_re_s19-12v01.jpg,,Qing 19th century,metallic thread; ink; tapestry weave; linen; silk,,unknown,Gift of Sandy and Cécile Mactaggart,rank badge,"Qing Period (1644-1911), Fifth Rank Civil Official (Silver Pheasant)

(source: John E. Vollmer & Jacqueline Simcox, ""Emblems of Empire: Selections from the Mactaggart Art Collection,"" (The University of Alberta Press and University of Alberta Museums, Edmonton, Alberta, 2009), p. 74.)",
15074,2005.5.448,Five Uncut Embroidered Yellow Silk Cushion Covers,https://search.museums.ualberta.ca/21-19670,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_575_002_re_s19-12v01.jpg,,Qing 19th century,gold wrapped silk thread; silk floss; silk satin; embroidery,,unknown,Gift of Sandy and Cécile Mactaggart,cushion cover,,
15075,2004.19.3.3,Album Leaf from Insects,https://search.museums.ualberta.ca/21-20076,https://media.museums.ualberta.ca/UAAC/fullres/2004/2004_019_003_003_s21-03v01.jpg,,Qing 18th-19th centuries,ink; paper,sheet: 43.3 cm x 35.4 cm; image: 27.4 cm x 22.2 cm,unknown,Gift of Sandy and Cécile Mactaggart,album leaf,A painting of two brown butterflies and a stem of white flowers.,
15076,2004.19.47,Two Egrets on Reeds,https://search.museums.ualberta.ca/21-19112,https://media.museums.ualberta.ca/UAAC/fullres/2004/2004_019_003_003_s21-03v01.jpg,,Modern 20th century,ink on paper,sheet: 183.5 cm x 109.2 cm; image: 79.1 cm x 96.5 cm,Lin Fengmian,Gift of Sandy and Cécile Mactaggart,hanging scroll,A hanging scroll painting of a landscape with two egrets standing in reeds.,Signed by Lin Fengmian and impressed with 1 artist seal.
15077,2005.5.587,Front and Back Panels of a Rank Badge for a Ninth Rank Civil Official,https://search.museums.ualberta.ca/21-19809,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_587_002_re_s19-12v01.jpg,,Qing 19th-20th centuries,gold wrapped silk thread; linen; silk; silver wrapped silk thread; embroidery,,unknown,Gift of Sandy and Cécile Mactaggart,rank badge,"Rank badges, always made in pairs, were placed on the front and back of surcoats in order to communicate their wearer’s rank during the Ming (1368-1644) and Qing dynasties (1644-1911). Different motifs were regulated by the imperial court, including bird motifs used only for civil officials, while beasts were used for military officials. The hierarchy of ranks within these categories was represented by specific birds and beasts. 
These rank badges feature a flycatcher, representing a ninth rank civil official. In the Ming Dynasty, the birds on rank badges were often presented in pairs in an upper and lower position. Later, in the Qing Dynasty, only one bird or beast was seen on rank badges. The bird perches on rocks, surrounded with bamboo and cherry blossoms. The badge is adorned with counted stitch embroidery on silk gauze.",
15078,2005.5.327,Blue Silk Tapestry Weave Dragon Robe for a Man,https://search.museums.ualberta.ca/21-19549,https://media.museums.ualberta.ca/UAAC/fullres/2005/2005_005_327_ve_s21-03v01.jpg,,Qing 19th century,blue silk and metal-wrapped thread tapestry weave,overall: 142 cm x 236 cm; neck to hem: 142 cm; cuff to cuff: x 236 cm,unknown,Gift of Sandy and Cécile Mactaggart,robe,,
15079,2004.19.1.1.18,Album Leaf from Illustrations of Costumes from the Qianlong Court,https://search.museums.ualberta.ca/21-20204,https://media.museums.ualberta.ca/UAAC/fullres/2004/2004_019_001_001_018_s21-03v01.jpg,,Qing 18th century,ink; silk; paper,sheet: 42.2 cm x 40.8 cm; image: 25.2 cm x 17.2 cm,unknown,Gift of Sandy and Cécile Mactaggart,album leaf,"This album leaf is part of a section of the illustrations of costumes from the Qianlong court, Huangchao liqi tushi (“The Regulations for the Ceremonial Paraphernalia of the [Qing] Dynasty”). In total there are 34 folios that depict costumes appropriate for the Empress Dowager or Empress to wear at the imperial court along with short descriptive captions. This is the left leaf of one folio (attached to 2004.19.1.19) and it contains four columns of regular script calligraphy describing the regulations of a summer court robe (chaopao), the first style for the empress dowager and empress. The text on this leaf continues on the attached right leaf.","襞積 緞紗單袷 各惟其時 餘俱如冬朝袍一 皇貴妃同 Translation of the Chinese text: ""[continuing from the right leaf, 2004.19.1.1.19]...[the robe] has pleats. The robe can be made of satin or gauze… 

													襞積 緞紗單袷 各惟其時 餘俱如冬朝袍一 皇貴妃同 Translation of the Chinese text: ""[continuing from the right leaf, 2004.19.1.1.19]...[the robe] has pleats. The robe can be made of satin or gauze and unlined or lined according to the season. The rest of the design is similar to the first style of winter robe. The first-rank imperial consort will have the same design.""
(Translated and transcribed by Lisa Claypool, Ed., China’s Imperial Modern: The Painter’s Craft, Edmonton, AB: University of Alberta Museums, 2012, p. 104; Modified by Isabel Pi-fen Chueh)
On the reverse of the piece ""(50)"" is handwritten in pencil on the upper right corner. 
Read More +"
15080,2005.5.300,Embroidered Red Silk Hanging,https://search.museums.ualberta.ca/21-19522,https://media.museums.ualberta.ca/UAAC/fullres/2005/2005_005_300_re_m01_s23-01v01.jpg,,Qing 19th century,gold wrapped silk thread; silk damask; silk floss; silk satin; peacock feathers; sequins; embroidery,overall: 215 cm x 94.5 cm,unknown,Gift of Sandy and Cécile Mactaggart,hanging,,
15081,2005.5.568,Front and Back Panels of a Rank Badge for a Fifth Rank Civil Official,https://search.museums.ualberta.ca/21-19790,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_568_002_re_s19-12v01.jpg,,Qing 19th century,gold wrapped silk thread; ink; linen; silk; silver wrapped silk thread; tapestry weave,,unknown,Gift of Sandy and Cécile Mactaggart,rank badge,"Qing Period (1644-1911), Fifth Rank Civil Official (Silver Pheasant)

(source: John E. Vollmer & Jacqueline Simcox, ""Emblems of Empire: Selections from the Mactaggart Art Collection,"" (The University of Alberta Press and University of Alberta Museums, Edmonton, Alberta, 2009), p. 74.)",
15082,2005.5.147.1,Embroidered Silk Hanging,https://search.museums.ualberta.ca/21-20828,https://media.museums.ualberta.ca/UAAC/fullres/2005/2005_005_147_001_re_s22-02v01.jpg,,Qing 19th century,silk; silk brocade; silk floss; silk satin; silk twill; embroidery,overall: 197.5 cm x 70.9 cm,unknown,Gift of Sandy and Cécile Mactaggart,hanging,,
15083,2005.5.20,Tiger Shaped Blue Silk Bib for a Child,https://search.museums.ualberta.ca/21-19242,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_020_op_s19-12v01.jpg,,Qing 19th century,blue silk damask embroidered with silk and metal-wrapped threads,overall: 62 cm x 43.7 cm,unknown,Gift of Sandy and Cécile Mactaggart,bib,"A blue silk damask child's bib or collar, in the form of a tiger, embroidered in counted stitch and decorated with flowers and Daoist emblems including the Five Poisons.",
15084,2005.5.435,Cut Velvet Silk,https://search.museums.ualberta.ca/21-19657,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_435_ve_g02_s20-02v01.jpg,,Qing 19th century,muslin; silk cut velvet,overall: 64.1 cm x 350 cm,unknown,Gift of Sandy and Cécile Mactaggart,yardage,,
15085,2005.5.87.7,Embroidered Silk Purse,https://search.museums.ualberta.ca/21-20908,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_087_007_ve_s20-02v01.jpg,,Qing 19th century,silk satin; embroidery; silk floss; cotton; gold wrapped silk thread; linen; plastic; silk damask; silk,overall: 23.7 cm x 9.5 cm x 1 cm,unknown,Gift of Sandy and Cécile Mactaggart,purse,,
15086,2005.5.364.1,Fragmentary Panel from an Imperial Robe,https://search.museums.ualberta.ca/21-20833,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_364_001_s19-12v01.jpg,,Qing 19th century,gold wrapped silk thread; silk; silk satin; silk tapestry weave,overall: 82.4 cm x 53.8 cm,unknown,Gift of Sandy and Cécile Mactaggart,panel,,
15087,2005.5.58,Pair of Embroidered Silk Sleeve Bands Mounted as a Panel,https://search.museums.ualberta.ca/21-19280,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_058_s19-12v01.jpg,,Qing 19th century,silk satin; silk; silk brocade; silk floss; embroidery,overall: 60.5 cm x 37.1 cm,unknown,Gift of Sandy and Cécile Mactaggart,panel,,
15088,2005.5.288,Two Embroidered Yellow Silk Sleeve Bands,https://search.museums.ualberta.ca/21-19510,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_288_ve_s20-02v01.jpg,,Qing 19th century,silk floss; silk satin; silk twist,,unknown,Gift of Sandy and Cécile Mactaggart,sleeve band,,
15089,2004.19.1.1.50,Album Leaf from Illustrations of Costumes from the Qianlong Court,https://search.museums.ualberta.ca/21-20259,https://media.museums.ualberta.ca/UAAC/fullres/2004/2004_019_001_001_050_s21-03v01.jpg,,Qing 18th century,ink; silk; paper,sheet: 42.2 cm x 40.8 cm; image: 28.5 cm x 26.5 cm,unknown,Gift of Sandy and Cécile Mactaggart,album leaf,"This album leaf is part of a section of the illustrations of costumes from the Qianlong court, Huangchao liqi tushi (“The Regulations for the Ceremonial Paraphernalia of the [Qing] Dynasty”). In total there are 34 folios that depict costumes appropriate for the Empress Dowager or Empress to wear at the imperial court along with short descriptive captions. This is the left leaf of one folio (attached to 2004.19.1.51) depicting the back of a vest.",On the reverse of the piece "(18)" is handwritten in pencil on the upper right corner.
15090,2004.19.15.1,"Qianlong Emperor's Southern Inspection Tour, Scroll Two: Crossing the Grand Canal at Dezhou",https://search.museums.ualberta.ca/21-20520,https://media.museums.ualberta.ca/UAAC/bfw/2004/2004_019_015_001_d12_s20-02v01.jpg,,Qing 18th century,ink and colour on silk,sheet: 72.6 cm x 2433.1 cm; image: 68.9 cm x 1690.3 cm; rolled: 11.2 cm x 72.6 cm x 10.2 cm,Xu Yang,Gift of Sandy and Cécile Mactaggart,handscroll,"Emperor Qianlong (r.1735-1799) commissioned court artist Xu Yang to document his 1751 southern inspection tour with a pictorial record, painted onto 12 handscrolls and completed in 1770. This painting is the second scroll of 12 and it depicts the royal procession traveling along the Grand Canal after leaving Beijing, about to enter the city of Dezhou in Shandong province.
The handscroll is quite large, measuring 68.5 x 1686.5 cm, and is viewed from right to left. The painting begins with a poetry inscription by Yu Mingzhong (1714-1779) and has two small seals after his signature. Seven of Emperor Qianlong's seals are impressed on the scroll at the beginning of the painting, including three big square red seals. 
On the right side of the scroll, the painting features the emperor's escorts and procession. They are crossing the Grand Canal on a floating bridge, surrounded by crowds of local officials and other inhabitants kneeling on either shore, welcoming the Emperor’s procession.
Further along in Dezhou, we see officials and other residents anticipating the Emperor’s arrival, as well as architecture and daily life activities in the 18th century. After Dezhou, moving left along the scroll, we see the suburbs outside of the town. Several mounted officers, some of them pulling carts, seem to be part of an advanced imperial entourage going ahead to scout the path for Qianlong Emperor’s smooth journey (Tsang, Ka bo, 2008).
At the left end of the picture impressed a small rectangular red seal by the collector Jin Cheng (1879-1926). The seal inscribes six characters as “Jin Gong Bo jing jian yin.” The handscroll has an original carved jade clasp inscribed with the names of Emperor Qianlong, the artist Xu Yang, and the title of the handscroll.","There is an inscription by Yu Minzhong (1714-1779), and another inscription of  a poem by the Emperor Qianlong. The scroll is impressed with seven seals of the emperor and has the original jade scroll clasp that is…												

													There is an inscription by Yu Minzhong (1714-1779), and another inscription of  a poem by the Emperor Qianlong. The scroll is impressed with seven seals of the emperor and has the original jade scroll clasp that is inscribed with the artist's name as well the title of the painting.												
Read More +"
