序列号,ID,Title,url,images,location,Period,Materials,Measurements,Artist,Credit Line,Type,Description,Illusion
49,S2012.9.1971,Mirror,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.1971,https://ids.si.edu/ids/iiif/FS-rls4813/full/full/0/default.jpg,China,25-317,Bronze,H x Diam (overall): 0.6 x 8.3 cm (1/4 x 3 1/4 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
50,S2012.9.495,"""Cowrie shell""",https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.495,https://ids.si.edu/ids/iiif/FS-rls_4947/full/full/0/default.jpg,China,,Stone,H x W (overall): 2.4 x 1.7 cm (15/16 x 11/16 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
51,S2012.9.2668,Spear point,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.2668,https://ids.si.edu/ids/iiif/FS-rls4023/full/full/0/default.jpg,China,,Bronze,H x W x D (overall): 25.2 x 5.4 x 2.4 cm (9 15/16 x 2 1/8 x 15/16 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
52,FSC-P-3852,Vessel sherds,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-P-3852,https://ids.si.edu/ids/iiif/FS-FSC-P-3852_001/full/full/0/default.jpg,"Anyang, Henan province, China",ca. 1300-1200 BCE,Unglazed white pottery,,,Gift of John A. Pope,,,
53,S2012.9.229,"Flanged bracelet, trimmed",https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.229,https://ids.si.edu/ids/iiif/FS-S2012.9.229_001/full/full/0/default.jpg,China,ca. 5000-ca. 1700 BCE,Jade (serpentine),H x Diam (overall): 2.7 x 8.1 cm (1 1/16 x 3 3/16 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
54,S2012.9.748,Bead,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.748,https://ids.si.edu/ids/iiif/FS-7674_09/full/full/0/default.jpg,China,,Glass,H x Diam (overall): 1.6 x 2.1 cm (5/8 x 13/16 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
55,S2012.9.3655,Miniature jar with two handles,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.3655,https://ids.si.edu/ids/iiif/FS-rls123/full/full/0/default.jpg,China,19th century,Stoneware with lead-silicate glazes,H x W x D: 4.2 x 3.8 x 3.5 cm (1 5/8 x 1 1/2 x 1 3/8 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
56,S2012.9.3738,Figure of a chimera,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.3738,https://ids.si.edu/ids/iiif/FS-7783_01/full/full/0/default.jpg,China,9th-early 10th century,Earthenware with pigment,H x W x D (overall): 9 x 5.6 x 3.5 cm (3 9/16 x 2 3/16 x 1 3/8 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
57,F1916.413,Head of a tomb model of a dog,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1916.413,https://ids.si.edu/ids/iiif/FS-7411_19/full/full/0/default.jpg,China,early 1st-early 3rd century,Unglazed earthenware,H x W: 15 x 18.3 cm (5 7/8 x 7 3/16 in),,Gift of Charles Lang Freer,,,
58,F1901.156,Jar,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1901.156,https://ids.si.edu/ids/iiif/FS-7351_10/full/full/0/default.jpg,"Henan province, China",1279-1368,Stoneware with Jun glaze,H x Diam: 13.2 × 17.8 cm (5 3/16 × 7 in),,Gift of Charles Lang Freer,,,
