title,type,date,credit_line,accession_number,image_download_url
Twilight At A Pagoda,Print,1928,Robert O. Muller Collection,S2003.8.3100,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7597_21
"Doton-Bori, Osaka",Print,1928,Robert O. Muller Collection,S2003.8.3101,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7939_27
Teahouse,Print,early 20th century,Robert O. Muller Collection,S2003.8.3102,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7597_22
Ocean Wave,Print,early 20th century,Robert O. Muller Collection,S2003.8.3103,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7597_23
Ferry boat,Print,early 20th century,Robert O. Muller Collection,S2003.8.3104,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7597_24
Moonscape,Print,early 20th century,Robert O. Muller Collection,S2003.8.3105,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7597_25
Temple shrine,Print,early 20th century,Robert O. Muller Collection,S2003.8.3106,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7597_26
Mountain and huts,Print,early 20th century,Robert O. Muller Collection,S2003.8.3107,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7597_27
Man leading horse crossing bridge at night,Print,early 20th century,Robert O. Muller Collection,S2003.8.3108,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7597_28
River Scene,Print,early 20th century,Robert O. Muller Collection,S2003.8.3109,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7597_30
"Nails, from the seriesThe Second Collection of Modern Beauties現代美人集第一輯　爪",Print,1936,Robert O. Muller Collection,S2003.8.311,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7537_36
Ferry boat and shrine,Print,early 20th century,Robert O. Muller Collection,S2003.8.3110,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7597_32
Waves Along Shore,Print,early 20th century,Robert O. Muller Collection,S2003.8.3111,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7597_33
Seascape,Print,early 20th century,Robert O. Muller Collection,S2003.8.3112,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7597_34
Night fishing,Print,early 20th century,Robert O. Muller Collection,S2003.8.3113,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7597_35
Ferry boat in rain,Print,early 20th century,Robert O. Muller Collection,S2003.8.3114,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7580_08
Tug boat in rain,Print,early 20th century,Robert O. Muller Collection,S2003.8.3115,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7597_36
Rainscape,Print,early 20th century,Robert O. Muller Collection,S2003.8.3116,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7597_38
Ryōgoku Bridge By Full Moon,Print,ca. 1910,Robert O. Muller Collection,S2003.8.3117,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7614_27
Ryogoku Bridge By Full Moon,Print,ca. 1910,Robert O. Muller Collection,S2003.8.3118,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7598_16
Tug Boats in Snow,Print,ca. 1905,Robert O. Muller Collection,S2003.8.3119,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7598_18
"Snowstorm, from the series The Second Collection of Modern Beauties 現代美人集第一輯　吹雪",Print,1932,Robert O. Muller Collection,S2003.8.312,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7537_38
Sail boat on river,Print,early 20th century,Robert O. Muller Collection,S2003.8.3120,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7598_19
Pleasure boat at night,Print,early 20th century,Robert O. Muller Collection,S2003.8.3121,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7598_20
Forest and huts,Print,early 20th century,Robert O. Muller Collection,S2003.8.3122,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7614_28
Trees and dwellings,Print,early 20th century,Robert O. Muller Collection,S2003.8.3123,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7598_21
Sail boat and lakeside dwellings,Print,early 20th century,Robert O. Muller Collection,S2003.8.3124,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7580_10
Sail boat and lakeside dwellings,Print,early 20th century,Robert O. Muller Collection,S2003.8.3125,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7598_22
Sailboat behind grass and dwellings,Print,early 20th century,Robert O. Muller Collection,S2003.8.3126,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7598_23
Ferry boat,Print,early 20th century,Robert O. Muller Collection,S2003.8.3127,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7598_24
Ferry boat carrying a horse,Print,early 20th century,Robert O. Muller Collection,S2003.8.3128,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7598_25
Pair of boats on a river,Print,early 20th century,Robert O. Muller Collection,S2003.8.3129,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7580_12
A Hooded Woman お高祖頭巾,Print,1950,Robert O. Muller Collection,S2003.8.313,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7730_22
Ferry boat carrying a horse,Print,early 20th century,Robert O. Muller Collection,S2003.8.3130,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7598_26
Dwellings and trees,Print,early 20th century,Robert O. Muller Collection,S2003.8.3131,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7598_27
Dwellings by a stream,Print,early 20th century,Robert O. Muller Collection,S2003.8.3132,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7598_28
Evening scene with man leading horse,Print,early 20th century,Robert O. Muller Collection,S2003.8.3133,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7598_29
Temple under moon,Print,early 20th century,Robert O. Muller Collection,S2003.8.3134,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7598_30
Row of stone figures,Print,early 20th century,Robert O. Muller Collection,S2003.8.3135,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7598_31
"Early Summer, Fields with Pine Trees",Print,early 20th century,Robert O. Muller Collection,S2003.8.3136,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7598_32
Bridge,Print,early 20th century,Robert O. Muller Collection,S2003.8.3137,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7598_33
Temple in snow,Print,early 20th century,Robert O. Muller Collection,S2003.8.3138,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7598_34
Watermill,Print,early 20th century,Robert O. Muller Collection,S2003.8.3139,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7598_35
A Hand Mirror 手鏡,Print,1953,Robert O. Muller Collection,S2003.8.314,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7730_24
Pleasure boat at night,Print,early 20th century,Robert O. Muller Collection,S2003.8.3140,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7598_36
"The Snow Woman (Yuki Onna) in the play Yuki Onna Gomai Hagoita, from the book Dai Chikamatsu Zenshū 大近松全集　雪女五枚羽子板の雪女",Print,1922,Robert O. Muller Collection,S2003.8.3141,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7636_24
Kabuki Theatre,Print,July 1878,Robert O. Muller Collection,S2003.8.3142,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7814_23
A Locomotive Over Water,Print,1862,Robert O. Muller Collection,S2003.8.3143,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7703_25
Rooster And Hen/After Koson,Print,ca. 1936,Robert O. Muller Collection,S2003.8.3144,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7439_32
Interior works on German battleship,Print,ca. 1874,Robert O. Muller Collection,S2003.8.3145,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7814_24
Kitao Masayoshi,Print,early 20th century,Robert O. Muller Collection,S2003.8.3146,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7568_15
Quai d’Orsay,Print,early 20th century,Robert O. Muller Collection,S2003.8.3147,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7568_16
Venice,Print,early 20th century,Robert O. Muller Collection,S2003.8.3148,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7929_36
Stonehenge at Dawn,Print,early 20th century,Robert O. Muller Collection,S2003.8.3149,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7929_37
Washing the Hair 髪,Print,1952,Robert O. Muller Collection,S2003.8.315,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7730_26
Stonehenge by Full Moon,Print,early 20th-mid 20th century,Robert O. Muller Collection,S2003.8.3150,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7929_38
London Bridge Under A Cresent Moon,Print,early 20th-mid 20th century,Robert O. Muller Collection,S2003.8.3151,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7929_39
Moonlight Bournemouth,Print,1928,Robert O. Muller Collection,S2003.8.3152,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7568_17
A Dismasted Brig,Print,1937,Robert O. Muller Collection,S2003.8.3153,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7929_41
Moonlit Scene,Print,early 20th-mid 20th century,Robert O. Muller Collection,S2003.8.3154,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7929_42
Landscape,Print,early 20th-mid 20th century,Robert O. Muller Collection,S2003.8.3155,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7929_43
Cypress Tress,Print,early 20th-mid 20th century,Robert O. Muller Collection,S2003.8.3156,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7930_01
Six Geese,Print,early 20th-mid 20th century,Robert O. Muller Collection,S2003.8.3157,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7595_37
Rabbits,Print,early 20th-mid 20th century,Robert O. Muller Collection,S2003.8.3158,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7568_18
"Christmas Greeting Card, 1938",Print,1938,Robert O. Muller Collection,S2003.8.3159,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7930_02
A Whisper ささやき,Print,1954,Robert O. Muller Collection,S2003.8.316,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7730_28
Crayfish,Print,early 20th-mid 20th century,Robert O. Muller Collection,S2003.8.3160,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7930_03
Camblain-l'Abbé,Print,1918-1939,Robert O. Muller Collection,S2003.8.3161,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7930_04
Bô Yin Râ,Print,early 20th-mid 20th century,Robert O. Muller Collection,S2003.8.3162,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7930_05
Peonies in vase with peony motif,Print,early 20th-mid 20th century,Robert O. Muller Collection,S2003.8.3163,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7568_19
Peonies in vase with peony motif,Print,early 20th-mid 20th century,Robert O. Muller Collection,S2003.8.3164,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7568_20
Vase with nasturtiums,Print,early 20th-mid 20th century,Robert O. Muller Collection,S2003.8.3165,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7568_21
Carnations and Chinese jar with rattan binding,Print,early 20th-mid 20th century,Robert O. Muller Collection,S2003.8.3166,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7568_22
Vase with anemonies,Print,early 20th-mid 20th century,Robert O. Muller Collection,S2003.8.3167,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7568_23
Vase with camellias,Print,early 20th-mid 20th century,Robert O. Muller Collection,S2003.8.3168,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7568_24
Vase with roses,Print,early 20th-mid 20th century,Robert O. Muller Collection,S2003.8.3169,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7568_25
The Backstage 楽屋,Print,1955,Robert O. Muller Collection,S2003.8.317,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7731_01
Vase with red peonies,Print,early 20th-mid 20th century,Robert O. Muller Collection,S2003.8.3170,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7568_26
Flowers and ceramics,Print,early 20th-mid 20th century,Robert O. Muller Collection,S2003.8.3171,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7568_27
Double-earred vase with assorted flowers and ceramic dish with plum motif,Print,early 20th-mid 20th century,Robert O. Muller Collection,S2003.8.3172,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7568_28
Flowers and Chinese vase with rattan binding,Print,early 20th-mid 20th century,Robert O. Muller Collection,S2003.8.3173,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7568_30
Bowl of autumn fruit and Chinese jar,Print,early 20th-mid 20th century,Robert O. Muller Collection,S2003.8.3174,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7568_31
Daisies and vase with leaf design,Print,early 20th-mid 20th century,Robert O. Muller Collection,S2003.8.3175,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7568_32
Peonies in two-handled vase and bowl with plum design,Print,early 20th-mid 20th century,Robert O. Muller Collection,S2003.8.3176,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7568_34
Vase with lupinus,Print,early 20th-mid 20th century,Robert O. Muller Collection,S2003.8.3177,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7568_35
Vase with lupinus,Print,early 20th-mid 20th century,Robert O. Muller Collection,S2003.8.3178,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7568_36
Tulips in a vase and its wooden storage box,Print,early 20th-mid 20th century,Robert O. Muller Collection,S2003.8.3179,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7568_37
The Clock and the Beauty IV 時計と美人IV,Print,1964,Robert O. Muller Collection,S2003.8.318,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7537_40
Tulips in a double-earred vase,Print,early 20th-mid 20th century,Robert O. Muller Collection,S2003.8.3180,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7568_38
Vase with lillies,Print,early 20th-mid 20th century,Robert O. Muller Collection,S2003.8.3181,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7568_39
Vase with dahlias,Print,early 20th-mid 20th century,Robert O. Muller Collection,S2003.8.3182,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7569_24
Vase with sweet peas,Print,early 20th-mid 20th century,Robert O. Muller Collection,S2003.8.3183,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7580_14
Sweet peas in vased with peony design,Print,early-mid 20th century,Robert O. Muller Collection,S2003.8.3184,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7614_29
Roses,Print,early 20th-mid 20th century,Robert O. Muller Collection,S2003.8.3185,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7569_25
Square vase with cyclamen,Print,early 20th-mid 20th century,Robert O. Muller Collection,S2003.8.3186,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7569_26
Cyclamen,Print,ca. 1940,Robert O. Muller Collection,S2003.8.3187,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7569_27
Daffodils and pussy willow in vase and ceramic bird figurine,Print,early 20th-mid 20th century,Robert O. Muller Collection,S2003.8.3188,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7569_28
Orchids and butterfly,Print,early 20th-mid 20th century,Robert O. Muller Collection,S2003.8.3189,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7569_29
Mt. Fuji from Hakone Observatory,Print,1938,Robert O. Muller Collection,S2003.8.319,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7657_03
Grasshopper On Rice,Print,early 20th-mid 20th century,Robert O. Muller Collection,S2003.8.3190,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7569_30
"Bruges, the Two Lovers",Print,ca. 1917-1923,Robert O. Muller Collection,S2003.8.3191,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7703_26
Untitled,Print,ca. 1917-1923,Robert O. Muller Collection,S2003.8.3192,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7703_28
Amsterdam at Night,Print,ca. 1917-1923,Robert O. Muller Collection,S2003.8.3193,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7703_29
"Quai Vert, Bruges",Print,ca. 1917-1923,Robert O. Muller Collection,S2003.8.3194,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7703_30
Untitled,Print,ca. 1917-1923,Robert O. Muller Collection,S2003.8.3195,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7704_01
The Bridge at Stirling,Print,ca. 1917-1923,Robert O. Muller Collection,S2003.8.3196,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7704_02
Durham,Print,ca. 1917-1923,Robert O. Muller Collection,S2003.8.3197,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7704_03
Roman Bridge at Avignon,Print,ca. 1917-1923,Robert O. Muller Collection,S2003.8.3198,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7704_05
Lucerne Bridge,Print,ca. 1917-1923,Robert O. Muller Collection,S2003.8.3199,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7704_07
Udaipur,Print,1916,Robert O. Muller Collection,S2003.8.32,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7883_16
After Snow at Hommonji Temple,Print,1940,Robert O. Muller Collection,S2003.8.320,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7731_03
Lucerne Bridge,Print,ca. 1917-1923,Robert O. Muller Collection,S2003.8.3200,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7613_26
Ruins of a Roman Bridge over the Loire,Print,ca. 1917-1923,Robert O. Muller Collection,S2003.8.3201,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7569_31
"The Devil's Bridge, Switzerland",Print,ca. 1917-1923,Robert O. Muller Collection,S2003.8.3202,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7704_09
"The Devil’s Bridge, Switzerland",Print,ca. 1917-1923,Robert O. Muller Collection,S2003.8.3203,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7704_10
Messina after the Earthquake,Print,ca. 1917-1923,Robert O. Muller Collection,S2003.8.3204,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7595_38
Untitled,Print,ca. 1917-1923,Robert O. Muller Collection,S2003.8.3205,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7930_06
The Sheperd's Watch,Print,ca. 1923,Robert O. Muller Collection,S2003.8.3206,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7930_07
Untitled,Print,ca. 1917-1923,Robert O. Muller Collection,S2003.8.3207,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7569_32
Constantinople,Print,ca. 1917-1923,Robert O. Muller Collection,S2003.8.3208,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7569_33
The Court of the Mosque of Memory,Print,ca. 1917-1923,Robert O. Muller Collection,S2003.8.3209,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7930_08
After Snow at Hommonji Temple,Print,1940,Robert O. Muller Collection,S2003.8.321,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7731_04
Mosque-Ibi Touloun,Print,ca. 1917-1923,Robert O. Muller Collection,S2003.8.3210,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7930_09
The Sherperd’s Watch,Print,ca. 1917-1923,Robert O. Muller Collection,S2003.8.3211,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7930_10
In the Docks,Print,ca. 1917-1923,Robert O. Muller Collection,S2003.8.3212,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7930_11
The Mill (Dixmuden),Print,ca. 1917-1923,Robert O. Muller Collection,S2003.8.3213,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7930_12
The Outskirts of a Flemish Town,Print,ca. 1917-1923,Robert O. Muller Collection,S2003.8.3214,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7930_13
Trees- Montreuil,Print,ca. 1917-1923,Robert O. Muller Collection,S2003.8.3215,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7930_14
The Golden Horn,Print,ca. 1917-1923,Robert O. Muller Collection,S2003.8.3216,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7930_15
The Resting Place-Scutari,Print,ca. 1917-1923,Robert O. Muller Collection,S2003.8.3217,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7930_16
Fishing-Entrance To The Scheld,Print,ca. 1917-1923,Robert O. Muller Collection,S2003.8.3218,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7930_17
Tulips in a vase,Print,1936,Robert O. Muller Collection,S2003.8.3219,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7569_34
Afternoon at Shirahama,Print,1939,Robert O. Muller Collection,S2003.8.322,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7909_18
Winchelsea Sussex,Print,ca. 1917-1923,Robert O. Muller Collection,S2003.8.3220,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7569_35
Horse,Print,ca. 1917-1923,Robert O. Muller Collection,S2003.8.3221,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7930_18
Horse,Print,ca. 1917-1923,Robert O. Muller Collection,S2003.8.3222,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7935_20
Horse,Print,ca. 1917-23,Robert O. Muller Collection,S2003.8.3223,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7930_19
Flower and ceramic vases,Print,early 20th-mid 20th century,Robert O. Muller Collection,S2003.8.3224,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7704_24
"Grand Canale, Venice",Print,ca. 1917-1923,Robert O. Muller Collection,S2003.8.3225,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7569_37
Double-earred vase with anemones,Print,early 20th-mid 20th century,Robert O. Muller Collection,S2003.8.3226,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7930_20
The Mill (Dixmuden),Print,1924,Robert O. Muller Collection,S2003.8.3227,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8213_24
Vase with peonies,Print,early 20th-mid 20th century,Robert O. Muller Collection,S2003.8.3228,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7569_38
Shimbashi Station,Print,1880,Robert O. Muller Collection,S2003.8.3229,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7704_11
Dawn at Lake Yamanaka,Print,1941,Robert O. Muller Collection,S2003.8.323,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7731_05
"Kuchibashi, Shiba: Tokyo",Print,1870,Robert O. Muller Collection,S2003.8.3231,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7814_25
Two Russians And Sheep,Print,1860,Robert O. Muller Collection,S2003.8.3232,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7704_12
Amerika,Print,"1861, 2nd month",Robert O. Muller Collection,S2003.8.3233,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7704_13
Igirisu,Print,1860,Robert O. Muller Collection,S2003.8.3234,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7704_14
Amerika-jin yûkô no zu,Print,1860,Robert O. Muller Collection,S2003.8.3235,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7704_15
"Sunset, West Park, Fukuoka",Print,1936/3,Robert O. Muller Collection,S2003.8.3236,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7910_21
Kawaguchi Lake,Print,1937,Robert O. Muller Collection,S2003.8.3237,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7910_23
"West Park, Fukuoka",Print,1936,Robert O. Muller Collection,S2003.8.3238,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7910_25
Beauties playing music,Print,1891,Robert O. Muller Collection,S2003.8.3239a-c,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7975_16
"Mt. Fuji from Mitohama Beach, Izu Province",Print,1938,Robert O. Muller Collection,S2003.8.324,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7307_07
Sea Battle,Print,1904/2/22,Robert O. Muller Collection,S2003.8.3240,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7793_06
"Fan Design, Mt. Fuji",Print,late 19th-mid 20th century,Robert O. Muller Collection,S2003.8.3242,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7938_22
"Fan Design, Bridge At Night",Print,late 19th-mid 20th century,Robert O. Muller Collection,S2003.8.3243,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7938_23
Yasuda Sakubei,Print,1894,Robert O. Muller Collection,S2003.8.3244,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7957_23
Carp,Print,late 19th-early 20th century,Robert O. Muller Collection,S2003.8.3245,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7515_16
Crow on a Branch,Print,late 19th-early 20th century,Robert O. Muller Collection,S2003.8.3246,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7515_17
Boats on water,Print,late 19th-early 20th century,Robert O. Muller Collection,S2003.8.3247,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7569_39
Night Moon at Takanawa,Print,mid 19th-early 20th century,Robert O. Muller Collection,S2003.8.3248,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7515_18
Lotus,Print,1930s,Robert O. Muller Collection,S2003.8.3249,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7957_25
"Mt. Fuji from Mitohama Beach, Izu Province",Print,1938,Robert O. Muller Collection,S2003.8.325,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7304_32
Moorhen among ears of rice,Print,1920s,Robert O. Muller Collection,S2003.8.3250,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7985_03
A black ouzel on the wheat-field,Print,1920s,Robert O. Muller Collection,S2003.8.3251,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7985_04
Bantams with young,Print,1920s,Robert O. Muller Collection,S2003.8.3252,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8279_12
A bird on willow sprouts,Print,1930s,Robert O. Muller Collection,S2003.8.3253,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7985_06
Wren on a persimmon tree,Print,1930s,Robert O. Muller Collection,S2003.8.3254,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7985_07
A wren on the willow branch,Print,1930s,Robert O. Muller Collection,S2003.8.3255,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7985_08
Wren on a catalpa tree,Print,1930s,Robert O. Muller Collection,S2003.8.3256,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7985_10
Pigeons in a temple ground,Print,1930s,Robert O. Muller Collection,S2003.8.3257,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7985_12
Wild ducks,Print,1920s,Robert O. Muller Collection,S2003.8.3258,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7985_13
Egrets in a pond,Print,1920s,Robert O. Muller Collection,S2003.8.3259,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7985_15
Mt. Fuji from Near Numazu,Print,1939,Robert O. Muller Collection,S2003.8.326,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7304_33
A rat and grapes,Print,1920s-1930s,Robert O. Muller Collection,S2003.8.3260,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7515_19
A rat and grapes,Print,1920s-1930s,Robert O. Muller Collection,S2003.8.3261,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7515_20
Gold carps and water reeds,Print,1920s,Robert O. Muller Collection,S2003.8.3262,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7985_17
"Chicken, , from the series Seitei's Flowers and Birds",Print,1916,Robert O. Muller Collection,S2003.8.3263,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7515_21
"Crow and Ginkgo Leaves, from the seriesSeitei's Flowers and Birds",Print,1916,Robert O. Muller Collection,S2003.8.3264,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7515_22
Raven in Sunset,Print,1916,Robert O. Muller Collection,S2003.8.3265,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7569_40
"White-cheeked Starling and Gourds, from the series Seitei's Flowers and Birds",Print,1916,Robert O. Muller Collection,S2003.8.3266,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7515_23
